x,y,z
526.7776617328852,317.3488538809685,a
567.2469760032387,390.34983025639076,a
572.0861771302093,377.3503446635641,a
548.0094643080572,396.8452064706373,a
533.3700199739706,379.504636054588,a
537.770503689844,398.72094719679245,a
508.4279335699475,401.96826424947733,a
493.2602079463957,407.0999353360756,a
461.9469759083153,398.8391072141902,a
453.4664154245186,380.19730537989193,a
480.830644503554,414.4044599499515,a
480.2658100334464,427.3821484902903,a
469.9983542401383,427.3313992720382,a
439.4815627069461,461.7376432725655,a
493.7057674319199,444.03163639253233,a
440.7598644219181,424.7106326158343,a
410.59876873129105,484.4964801774834,a
438.9853722237612,479.6621168715116,a
412.3067288742509,432.5342079472952,a
414.1752675735406,479.6629801234181,a
466.9444778505864,450.91164263018044,a
417.7700979008431,456.2474989995935,a
447.8075308187546,453.4681600830162,a
460.7549172454303,457.1632678070155,a
427.36751595091937,414.7546700866045,a
408.22951464672883,455.3805110034523,a
413.1046695488165,479.92992948783103,a
461.9443916748203,471.2912967308158,a
427.06411340012573,458.4151517241547,a
421.8984483104184,472.6919568759367,a
433.84958204587895,512.5557432301418,a
419.8242913721941,472.60546979585706,a
382.6906486534743,499.37151698505767,a
429.6318325785904,424.9913244573235,a
429.8391901423791,477.4165369247543,a
442.501022317217,438.2415555012508,a
411.4310630652983,433.638276805736,a
443.34579137763234,431.22637495524634,a
488.9521326132549,445.99030917934647,a
509.3374751766192,415.5930336087314,a
518.6593528646025,443.3038756588802,a
507.9800789608569,439.45405710751595,a
476.3300315072971,436.3831990052767,a
534.297355027863,394.44685538642557,a
503.87467182933807,406.9546315809853,a
553.6988013380673,365.9757134148667,a
474.53256954519327,392.9163001560719,a
519.776581552981,431.97059926873885,a
522.1593451794411,407.1731900151369,a
549.8545229952808,407.9079529021828,a
507.334972487281,374.1619779154124,a
554.1129367528704,386.34122950960005,a
517.2283404038354,398.2174595845877,a
566.9804895996161,372.5424601126077,a
515.1211722973148,410.91190480441924,a
545.8067816757673,425.30467410782785,a
503.75339041212965,368.91956975346744,a
572.211655674174,367.1100040289141,a
516.0050114784121,365.9604202909367,a
511.14264242678234,391.05218730262897,a
522.3904519551786,353.41160039940803,a
490.1870338032429,400.3699234887807,a
523.379617993274,401.2303651432852,a
545.1270398365738,366.2024768057878,a
515.6139230941083,423.1977890885427,a
487.24610396080476,410.43779472401064,a
480.79788568680067,404.8021533454662,a
472.1797045164656,423.1055727896161,a
421.0141464943073,422.55880606130773,a
409.11550779081176,380.62189251138216,a
461.8294441915229,390.902826221173,a
424.8007270711174,393.9678365466725,a
449.69680377118516,439.0346150261245,a
478.2262222627607,438.2674618847321,a
426.1736779118122,421.9680868746352,a
461.00898812812875,423.9437851291413,a
464.51424890849177,455.7342282690792,a
449.4313401565573,463.761052086444,a
427.6950438222318,456.2288937407701,a
389.7118445690143,466.5881251449638,a
396.0188795896647,414.59973815839237,a
382.7060928453259,440.88770941466316,a
374.30194861200476,469.4956664950934,a
343.5535299195874,467.85844049970586,a
351.8895528455238,466.0536821147075,a
333.6622877701332,443.98668632083127,a
299.96625052064593,438.2474187838209,a
385.9557279467274,432.1419612198242,a
322.8645408242927,445.2315827272288,a
341.11821657893535,469.3516049149931,a
272.26558897811594,451.53560024518663,a
363.8016565012225,469.3653916025556,a
304.6272345754144,394.2432098814803,a
323.41417877988687,470.6580487635935,a
352.1783960746898,420.68377444631807,a
363.8926872236201,435.1332065095217,a
305.7553913732974,452.3996753840416,a
339.6552043862873,438.8820250049886,a
356.87058165276727,429.3293347000795,a
328.9316589966747,490.88322965142163,a
275.9210285984061,437.2625145261349,a
345.40263651067806,428.87314709016476,a
297.20650168482086,445.0512323574791,a
307.5842989934669,460.20946895497855,a
312.8114460308051,394.8095501084076,a
344.54957734002335,465.1102866021459,a
311.98311715863343,458.29726166689153,a
254.9376237760367,432.4385656202587,a
221.3552469257106,431.8768127348176,a
249.3608433216008,437.18331705357855,a
231.33903531067998,419.9943147076716,a
243.07767452675634,438.3185457794163,a
244.1610825202323,422.6413484202709,a
207.48930704652014,414.1583260951302,a
227.41258220173987,405.04918457862544,a
229.1094304799363,415.4142134796211,a
232.6338356593792,393.0901849337229,a
184.5742236182573,416.3732286468746,a
179.501818377554,428.1474222204441,a
168.3862897727646,391.94069586920057,a
192.44877509781406,427.927605518959,a
157.1701776347221,368.1644165032477,a
166.5201543635839,383.3227690042411,a
157.61796506297364,378.3328896703751,a
225.7561326304024,369.1542795136692,a
144.8953382926261,349.60382006298744,a
174.82176431239088,393.2114248328036,a
152.91859156675167,360.9331208994623,a
196.58524806862454,407.8292430752886,a
167.31173718001548,382.09052675366985,a
151.8798380279822,429.33663902100875,a
114.0783431569686,392.8144709620161,a
159.6633698133969,396.8704141222201,a
189.46300438969143,403.76960487446763,a
152.0302938469453,376.34148737882344,a
162.41891614321355,406.7098136984138,a
221.6396163365006,360.52503130986844,a
178.91017427216968,364.6980841901641,a
175.4240319670319,390.8543097872713,a
207.74296335254562,437.6871020020527,a
203.07712361133943,416.31210086026056,a
221.66323370982897,461.65925374699424,a
237.17855487215962,405.44854430308317,a
280.6227147547007,447.01987495251035,a
293.56663633545594,379.205918240943,a
281.8682640996543,454.44550100528625,a
264.8874599843387,468.87887137035676,a
266.32024990454073,429.9669880451014,a
302.2281537927994,412.8580136794011,a
325.8025865331959,430.6672345527676,a
320.7914305451723,493.89674719889,a
312.8752040983522,459.6526816054608,a
301.37173458988366,439.0517228396795,a
325.55468229451606,472.3450738867547,a
327.65536869412006,410.7601263663296,a
342.11462679863894,478.12924191804086,a
283.6980039779846,445.9019922255443,a
344.06439076490955,407.78033127936976,a
318.95918766964013,454.39288115424233,a
349.59001719682436,463.17305972004635,a
375.43417107506485,503.96792545007327,a
326.0884965051257,497.2535967026726,a
347.1187024872365,485.9991014100491,a
359.36863107538056,424.1506295950421,a
386.96039162732825,475.6965275794425,a
348.402809132418,501.60297022572263,a
384.14571792350546,511.29545097302844,a
367.488687480379,488.6401804284555,a
374.95610512450224,461.9467301193859,a
313.11091680151986,451.03003778689475,a
315.94147060029354,436.7292632424511,a
312.5742994004302,422.24456846225394,a
271.08694732552766,461.4806164095787,a
354.05378693800924,464.1120453061635,a
316.48154923975824,426.567423179399,a
311.26691422121985,400.24124712874993,a
266.91482592324274,467.0419969665616,a
276.80731597202254,422.2140058890021,a
257.2244202778315,416.477093071069,a
228.58295179292074,419.8702766061985,a
241.871771219506,433.76157341834073,a
256.7505622417947,468.5281695185256,a
229.51919745579812,404.9851556419568,a
228.3745356560795,360.381245075205,a
178.16189673727735,394.76298285798896,a
184.36466353013392,452.0017476596331,a
168.9130639259859,379.4333354025394,a
195.18356283913144,440.92934450030964,a
156.30315206302996,378.46317193229913,a
136.43937657225064,397.2886213366339,a
96.34072338201176,383.1681762036919,a
131.58479825033754,343.76714582476507,a
141.96430307278894,353.2291194183747,a
164.43344582624854,350.7654789782001,a
202.62854360880817,396.6652965978392,a
165.47830253119454,371.81291419735,a
163.48535782818283,369.2071047918879,a
152.31665987244975,367.15936457906565,a
115.45745166171386,355.4800839132286,a
131.4748298289204,377.91704064702753,a
107.01506608415734,320.3121521379015,a
135.06503486166093,319.7536092611341,a
110.01415457174772,347.281235204042,a
120.2202012036185,350.71701679707223,a
150.5675792087448,344.85838449465973,a
117.75051402146522,329.5822958009093,a
157.087313123538,333.5101251396653,a
177.46932843293905,289.6372619885756,a
84.90740569125018,372.2992226686315,a
134.05592657403886,348.8640407206733,a
84.78051545643396,305.385467933322,a
97.04809725375031,347.2045455805975,a
71.70886937527294,238.23042315554505,a
111.17800187385022,266.21669520220127,a
72.06033192600617,208.57738123440498,a
110.84235644518603,206.7802712536377,a
43.57415296284162,203.18054194585653,a
67.4946231516745,190.66972451349272,a
59.26551443693981,198.8704252343387,a
71.32910978522435,197.01142852682608,a
80.75075963497088,187.39418007690875,a
83.90854342574326,204.15906858417236,a
76.87062173072323,195.31253379845356,a
127.09576265883163,157.29077798620324,a
55.03095306110469,232.39045076309452,a
86.48233293522415,191.56547918606958,a
111.33763155249993,195.79164010441025,a
121.0902302218945,205.31224039589472,a
102.57685019233364,191.3136555894106,a
107.2781858744129,179.42938954127732,a
85.93945579177833,228.19345813991936,a
86.69487616881189,199.47314860386228,a
77.18299290326054,160.25045402013365,a
98.15841358464,212.76228943663233,a
113.04948516545113,180.62723981998192,a
128.187106516632,190.18111790883978,a
95.18872132878018,219.4964635078598,a
74.63287880610896,213.79792738799551,a
52.10562218477052,188.75194173823775,a
87.65882735535104,190.10643418179603,a
102.9728223337116,188.9976927756889,a
60.91372183394179,207.4810321052255,a
117.12711211863626,134.04485271722365,a
90.64195616770908,219.0639332600341,a
83.44381467585207,215.06973443553318,a
109.53809901838076,209.45537671460545,a
103.10559956091218,167.72391387796586,a
73.35561977018583,253.08191253575572,a
114.51295555169943,227.50308991381723,a
92.67996674673091,278.63439727632647,a
124.45972040668195,260.4739322333259,a
135.6760347129324,272.8607863093349,a
107.15935457277467,288.81270112369015,a
63.54661398925861,275.313122253351,a
95.93602319974092,316.0617928776502,a
133.87909304637338,282.02032166980854,a
112.20323161338703,308.12581904453157,a
110.59912784400993,259.1330746882899,a
68.64105352158165,323.2863251323766,a
79.01579379276995,320.3297897511602,a
122.94027262019428,321.90411079695394,a
129.97239367934634,286.531749262301,a
87.98105618182845,303.15174201057766,a
133.11972457544903,281.864799067856,a
117.58549629162958,282.16782689209583,a
29.625303455055715,257.25787758099625,a
90.23467743479318,274.0232234123629,a
83.15265724087818,223.81836281307756,a
60.53752736566017,235.88779246037063,a
